,GRDC-No.,River,Station,Country,Latitude(DD),Longitude(DD),Catchmentarea(km²),Altitude(mASL),Nextdownstreamstation
70,6935060,BIRSE,MONTIER(LACHARRUE),CH,47.284,7.3823,183.0,567.803,6935051
71,6935145,RHINERIVER,DOMAT/EMS,CH,46.8377,9.4561,3229.0,622.884,6935146
72,6935146,RHINERIVER,FELSBERG,CH,46.8439,9.4825,3249.0,609.8380000000001,6935500
73,6935300,AARE,"UNTERSIGGENTHAL,STILLI",CH,47.5166,8.2348,17601.0,373.41,6335400
74,6935301,AARE,BRUGG,CH,47.4825,8.1949,11726.0,379.54,6935300
75,6935302,AARE,MURGENTHAL,CH,47.2666,7.8306,10119.0,447.454,6935301
76,6935400,THUR,ANDELFINGEN,CH,47.5965,8.682,1696.0,402.751,6935054
77,6935401,THUR,HALDEN,CH,47.5058,9.2116,1085.0,502.43300000000005,6935400
78,6935402,THUR,"JONSCHWIL,MUEHLAU",CH,47.4137,9.0775,493.0,580.823,6935401
79,6935403,THUR,BUETSCHWIL,CH,47.358000000000004,9.0815,303.0,614.966,6935402
80,6935404,THUR,STEIN(ILTISHAG),CH,47.1912,9.2336,84.0,897.235,6935403
81,6935460,MURG,WAENGI,CH,47.4963,8.953,78.9,512.737,6935400
82,6935500,RHINERIVER,"DIEPOLDSAU,RIETBRUECKE",CH,47.3831,9.6409,6119.0,456.273,6935055
83,6935540,LANDQUART,FELSENBACH,CH,46.9746,9.6121,616.0,618.359,6935500
84,6935541,LANDQUART,KLOSTERS,CH,46.858000000000004,9.9369,112.0,1364.266,6935540
